symbol,zone_source,zone_class,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,gross_pnl_pct,pnl_pct,hold_bars
BAJAJFINSV,5m,continuation,short,DBD,1824.800048828125,1825.199951171875,14.38,False,,False,False,True,True,1,2026-04-15 09:25:00+00:00,1825.7,pin_bar,66.7,2.28,2026-04-16 03:50:00+00:00,1828.85,stop_loss,-0.173,-0.473,8
BAJFINANCE,5m,continuation,short,DBD,1084.0,1085.0,6.14,True,DBD,True,True,True,True,1,2025-10-20 06:45:00+00:00,1084.75,pin_bar,67.4,1.47,2025-10-20 08:45:00+00:00,1082.7,trailing_stop,0.189,-0.111,24
BAJFINANCE,5m,continuation,long,RBR,1007.8,1008.5,6.42,True,RBR,False,False,True,True,1,2025-12-24 09:55:00+00:00,1009.4,pin_bar,24.9,5.45,2025-12-26 03:45:00+00:00,1005.78,stop_loss,-0.358,-0.658,1
BAJFINANCE,5m,continuation,short,DBD,891.3,892.0,7.24,True,DBD,False,False,True,True,1,2026-06-12 03:45:00+00:00,889.0,pin_bar,81.3,2.39,2026-06-12 04:05:00+00:00,893.78,stop_loss,-0.538,-0.839,4
BAJFINANCE,5m,continuation,short,DBD,968.05,968.9,4.32,True,RBD,False,False,True,True,1,2026-06-22 09:35:00+00:00,968.35,engulfing,65.6,4.62,2026-06-23 03:50:00+00:00,966.48,trailing_stop,0.194,-0.106,6
BAJFINANCE,5m,continuation,long,RBR,995.0,995.5,3.58,False,,False,False,True,True,1,2026-07-14 04:15:00+00:00,1001.0,pin_bar,25.5,4.36,2026-07-14 09:15:00+00:00,1006.1,trailing_stop,0.509,0.209,60
BAJFINANCE,1h,continuation,long,RBR,894.3499755859375,896.9000244140625,3.92,False,,True,True,True,False,1,2026-03-11 07:15:00+00:00,899.8,pin_bar,27.0,1.34,2026-03-11 09:50:00+00:00,892.56,stop_loss,-0.804,-1.104,31
BAJFINANCE,1h,continuation,long,RBR,1079.949951171875,1082.0,8.6,False,,False,False,True,False,1,2025-10-27 05:35:00+00:00,1079.8,engulfing,30.9,1.58,2025-10-27 06:00:00+00:00,1077.79,stop_loss,-0.186,-0.486,5
BAJFINANCE,1h,continuation,long,RBR,997.0,999.0999755859375,3.99,False,,True,False,True,False,1,2025-12-18 09:20:00+00:00,998.2,pin_bar,33.1,3.12,2025-12-19 03:45:00+00:00,1004.59,take_profit,0.64,0.39,8
BAJFINANCE,1h,continuation,long,RBR,997.0,999.0999755859375,3.99,False,,False,False,True,False,2,2025-12-26 03:45:00+00:00,1001.4,pin_bar,16.2,4.88,2025-12-26 03:55:00+00:00,1005.05,trailing_stop,0.364,0.064,2
BAJFINANCE,1h,continuation,short,DBD,952.0499877929688,956.7999877929688,7.85,False,,False,False,True,False,1,2026-03-10 03:45:00+00:00,944.5,engulfing,79.0,1.67,2026-03-11 05:45:00+00:00,916.07,take_profit,3.01,2.761,99
BANDHANBNK,5m,continuation,short,DBD,176.68,177.06,3.78,False,,False,True,True,True,1,2026-04-16 04:00:00+00:00,176.52,pin_bar,67.5,4.17,2026-04-16 04:25:00+00:00,175.67,trailing_stop,0.484,0.185,5
BANDHANBNK,5m,continuation,long,RBR,189.27,189.54,10.14,True,RBR,False,False,True,True,1,2026-05-20 03:50:00+00:00,189.69,engulfing,34.0,1.36,2026-05-20 04:30:00+00:00,190.13,trailing_stop,0.232,-0.068,8
BANDHANBNK,1h,continuation,short,DBD,215.9499969482422,216.8000030517578,37.75,False,,False,True,True,False,1,2026-06-16 09:10:00+00:00,216.24,pin_bar,89.8,2.58,2026-06-16 09:15:00+00:00,217.23,stop_loss,-0.459,-0.76,1
BANDHANBNK,1h,continuation,short,DBD,215.9499969482422,216.8000030517578,37.75,False,,False,False,True,False,2,2026-07-15 04:25:00+00:00,215.79,pin_bar,81.4,1.49,2026-07-15 04:30:00+00:00,217.23,stop_loss,-0.669,-0.97,1
BANDHANBNK,1h,reversal,short,RBD,203.39999389648438,204.00999450683594,13.55,False,,False,True,True,False,1,2026-04-29 07:05:00+00:00,203.15,pin_bar,80.5,1.37,2026-04-29 07:15:00+00:00,204.42,stop_loss,-0.624,-0.925,2
BANDHANBNK,1h,reversal,short,RBD,203.39999389648438,204.00999450683594,13.55,False,,True,True,True,False,2,2026-05-04 03:50:00+00:00,202.55,engulfing,69.5,1.76,2026-05-04 03:55:00+00:00,204.42,stop_loss,-0.922,-1.223,1
